Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas1             Pavarde1            6         8         4         10        1         6         9         6         10        10        2         7         4         6         8         8         
Vardas2             Pavarde2            3         1         6         4         4         6         3         1         2         10        10        1         7         8         5         4         
Vardas3             Pavarde3            1         4         1         5         9         10        3         7         10        6         9         1         6         3         9         8         
Vardas4             Pavarde4            1         8         3         5         4         3         10        9         5         8         10        9         8         4         8         7         
Vardas5             Pavarde5            2         7         5         1         7         8         7         9         9         2         6         1         4         5         4         1         
Vardas6             Pavarde6            5         7         6         7         7         8         6         5         4         8         10        8         6         10        4         2         
Vardas7             Pavarde7            5         5         2         9         7         6         4         4         2         8         1         5         2         6         9         8         
Vardas8             Pavarde8            7         2         9         2         2         8         9         5         3         3         1         9         4         4         5         9         
Vardas9             Pavarde9            9         10        4         8         5         4         3         5         2         2         4         5         8         6         3         9         
Vardas10            Pavarde10           5         8         4         4         10        10        8         6         2         2         1         4         6         8         6         6         
Vardas11            Pavarde11           5         9         5         4         1         8         2         3         10        5         2         3         5         4         5         2         
Vardas12            Pavarde12           1         8         6         6         8         9         5         8         5         10        7         10        1         10        5         9         
Vardas13            Pavarde13           3         8         10        9         9         4         10        4         2         1         3         9         1         7         5         7         
Vardas14            Pavarde14           3         7         9         4         7         6         10        4         9         8         1         9         1         6         4         1         
Vardas15            Pavarde15           7         3         2         2         5         4         5         3         9         3         5         4         3         4         2         6         
Vardas16            Pavarde16           7         9         7         8         5         3         10        4         1         10        5         4         6         4         4         3         
Vardas17            Pavarde17           4         8         5         9         5         5         7         5         2         6         8         4         1         1         6         2         
Vardas18            Pavarde18           8         3         8         9         9         10        2         6         9         4         10        10        8         7         6         2         
Vardas19            Pavarde19           6         3         9         4         1         8         4         8         6         7         1         8         1         4         5         10        
Vardas20            Pavarde20           2         9         7         6         9         1         8         7         1         4         8         8         4         2         2         2         
Vardas21            Pavarde21           2         10        4         4         2         5         3         10        4         1         5         2         4         5         9         4         
Vardas22            Pavarde22           8         9         5         8         7         5         7         4         8         7         9         6         1         2         4         5         
Vardas23            Pavarde23           2         8         10        4         3         7         7         10        7         3         10        5         6         5         8         2         
Vardas24            Pavarde24           5         10        4         1         1         7         8         7         6         3         10        6         5         4         4         6         
Vardas25            Pavarde25           10        3         4         4         6         9         2         2         9         4         2         2         9         8         5         4         
Vardas26            Pavarde26           10        3         9         5         4         4         8         1         5         4         8         4         1         5         3         5         
Vardas27            Pavarde27           4         6         10        8         2         9         1         6         4         3         6         9         1         9         3         10        
Vardas28            Pavarde28           4         4         2         7         2         10        7         6         10        7         8         1         9         10        1         1         
Vardas29            Pavarde29           9         1         6         6         3         8         9         1         6         10        8         10        6         3         9         5         
Vardas30            Pavarde30           1         10        2         4         9         10        7         10        6         4         8         7         9         5         6         4         
Vardas31            Pavarde31           2         1         5         2         4         10        6         6         10        7         6         4         10        5         8         7         
Vardas32            Pavarde32           7         3         2         8         2         2         3         1         9         7         1         9         5         2         2         3         
Vardas33            Pavarde33           9         2         5         8         1         7         4         6         1         3         4         3         7         1         3         6         
Vardas34            Pavarde34           6         8         10        7         6         3         3         7         7         6         5         6         6         3         3         5         
Vardas35            Pavarde35           5         5         8         9         6         8         9         4         2         6         6         4         10        1         1         9         
Vardas36            Pavarde36           7         2         1         6         7         2         2         1         5         8         10        9         6         5         10        10        
Vardas37            Pavarde37           7         10        9         6         2         2         7         8         2         8         5         4         9         10        4         1         
